Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Storage;Other storage;Diesel storage; DIESEL_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Gasoline storage; GASOLINE_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;LFO storage; LFO_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Ammonia storage; AMMONIA_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Methanol storage; METHANOL_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;CO2 storage; CO2_STORAGE ;49.5;0.495;0;30;1;0;1;0;0;
Electricity;Electricity;Open cycle gas turbine; OCGT ;1176.1;17.64181303;183.79;25;0.415159488;0;1;0.15672;0.15682;
Electricity;Electricity;Diesel genset; GENSET_DIESEL;384.6;5.769001632;516.55;25;0.155363633;0;1;0.003679998;0.003779998;
Electricity;Electricity;Hydro dam; HYDRO_DAM;2206.3;22.06299731;1262.82;40;1;0;1;0.0076;0.0077;
Electricity;Electricity;Biomass combustion power plant; ST_BIOMASS;1716.964771;39.82614252;165.33;25;0.298573216;0;1;0;0;
Electricity;Electricity;SNG combustion power plant; ST_SNG;982.1038492;14.73155774;1024.32;25;0.340444644;0;1;0;0;
Heat;Cooking;Firewood stove; STOVE_WOOD;0;0;75;10;1;0;1;0.000798024;0.000898024;
Heat;Cooking;LPG stove; STOVE_LPG;0;0;75;10;1;0;1;0.019970009;0.020070009;
Heat;Cooking;NG stove; STOVE_NG;0;0;75;10;1;0;1;0.007307014;0.007407014;
Heat;Cooking;Oil stove; STOVE_OIL;0;0;75;10;1;0;1;0.0000211;0.0001211;
Heat;Cooking;Electric stove; STOVE_ELEC;0;0;75;10;0.1875;0;1;0;0;
Mobility;Freight;Aviation fuel; AIR_LFO;0;0;0;15;0.114155251;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Biomass fermentation to bioethanol; FERMENTATION_TO_BIOETHANOL;2554.01;116.0842435;0;25;0.92;0;1;0;0;
Synthetic fuels;Synthetic fuels;Esterification to biodiesel; ESTERIFICATION_TO_BIODIESEL;2554.01;116.0842435;0;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Diesel engine (industry); IND_ENG_DIESEL;384.6;5.769001632;516.55;25;0.9;0;1;0.006926247;0.007026247;
Heat;Heat high temperature;LPG burner (industry); IND_BURNER_LPG ;70.67;1.415862909;12.32;17;0.9443;0;1;0;0;
Mobility;Passenger public;Bus gasoline; BUS_COACH_GASOLINE;930.384;30.55555556;0;15;0.296803653;0.450420256;0.450420256;0;1.00E+15;
