{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;SOLAR
7421;9.18E-05;1.14E-04;2.49E-05;0.000114155;0;0.031714288;0;0.34351143;0.20654694;0
7422;9.64E-05;1.14E-04;6.93E-05;0.000114155;0.011490558;0.027389612;0;0.371846048;0.207901347;0
7423;0.0000986;1.14E-04;0.000143;0.000114155;0.207297877;0.011532468;0;0.396980687;0.210610158;0.163797907
7424;0.000106;1.14E-04;0.00019;0.000114155;0.428;0.024506495;0;0.459471912;0.253273953;0.368699182
7425;0.000114523;1.14E-04;0.000168;0.000114155;0.629231174;0.050454549;0;0.462446342;0.253951157;0.560287825
7426;0.000117925;1.14E-04;0.000165;0.000114155;0.79049295;0.082168837;0;0.478671788;0.25259675;0.714983568
7427;0.000119913;1.14E-04;0.000179;0.000114155;0.898520612;0.118207801;0;0.478446237;0.21094876;0.818907459
7428;0.000119023;1.14E-04;0.000196;0.000114155;0.944351524;0.154246764;0;0.463912411;0.211625964;0.863096863
7429;0.000115454;1.14E-04;0.000195;0.000114155;0.92470267;0.196051962;0;0.408483695;0.194357285;0.844268762
7430;0.000117251;1.14E-04;0.000185;0.000114155;0.402990291;0.232090926;0;0.484423292;0.201806519;0.032009412
7431;0.000118379;1.14E-04;0.000199;0.000114155;0.701252351;0.259480538;0;0.468804009;0.228217439;0.629025985
7432;0.000117418;1.14E-04;0.000216;0.000114155;0.51540078;0.275337682;0;0.459683364;0.457789284;0.45220271
7433;0.000116782;1.14E-04;0.000224;0.000114155;0.302406869;0.250831187;0;0.465674515;0.476073767;0.251520111
7434;0.000124147;1.14E-04;0.000198;0.000114155;0.0652;0.167220791;0;0.52971639;0.752034024;0.022578947
7435;0.000137026;1.14E-04;1.37E-04;0.000114155;0;0.083610396;0;0.69536818;0.886120235;0
7436;0.000135944;1.14E-04;9.07E-05;0.000114155;0;0.031714288;0;0.625983608;0.888829047;0
7437;0.000130849;1.14E-04;6.33E-05;0.000114155;0;0.01009091;0;0.547055484;0.886797438;0
7438;0.000123167;1.14E-04;4.11E-05;0.000114155;0;0.004324676;0;0.42049419;0.855646097;0
7439;0.000117277;1.14E-04;2.46E-05;0.000114155;0;0.002883117;0;0.444289631;0.328782097;0
7440;0.000101;1.14E-04;8.08E-06;0.000114155;0;0.002883117;0;0.41427749;0.19977491;0
