param : 	avail_local	avail_exterior	gwp_op_local	c_op_local := 
SAEE	BIODIESEL	0.0	0.0	0.0	0.131394244
SAEE	LFO	0.0	Infinity	0.3115	0.085115655
SAEE	GAS	477.4322454	0.0	0.2666	0.010662519
SAEE	GAS_RE	0.0	0.0	0.0	0.132345636
SAEE	COAL	0.0	0.0	0.4014	0.015545445
SAEE	URANIUM	0.0	0.0	0.0039	0.003876456
SAEE	H2	0.0	0.0	0.414044616	0.077642645
SAEE	H2_RE	0.0	0.0	0.0	0.137854413
SAEE	AMMONIA	0.0	0.0	0.285	0.071991938
SAEE	METHANOL	0.0	0.0	0.35	0.081184572
SAEE	AMMONIA_RE	0.0	0.0	0.0	0.092751343
SAEE	METHANOL_RE	0.0	0.0	0.0	0.122502774
SAEE	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
SAEE	RES_WIND	Infinity	Infinity	0.0	0.0
SAEE	RES_SOLAR	Infinity	Infinity	0.0	0.0
SAEE	RES_HYDRO	Infinity	Infinity	0.0	0.0
SAEE	RES_GEO	Infinity	Infinity	0.0	0.0
SAEE	CO2_ATM	Infinity	Infinity	0.0	0.0
SAEE	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SAEE	CO2_CAPTURED	0.0	0.0	0.0	0.0
SAEE	LPG	0.0	Infinity	0.28360908	0.021578745
SAER	WOOD	6270.0	0.0	0.0118	0.016980597
SAER	WET_BIOMASS	309.4143623	0.0	0.0118	0.010318121
SAER	WASTE	0.0	0.0	0.1501	0.021187834
SAER	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SAER	GASOLINE	0.0	Infinity	0.3448	0.124118331
SAER	DIESEL	0.0	Infinity	0.3148	0.111311495
SAER	BIOETHANOL	0.0	0.0	0.0	0.122502774
SAER	BIODIESEL	0.0	0.0	0.0	0.131394244
SAER	LFO	0.0	Infinity	0.3115	0.085115655
SAER	GAS	477.4322454	0.0	0.2666	0.010662519
SAER	GAS_RE	0.0	0.0	0.0	0.132345636
SAER	COAL	0.0	0.0	0.4014	0.015545445
SAER	URANIUM	0.0	0.0	0.0039	0.003876456
SAER	H2	0.0	0.0	0.414044616	0.077642645
SAER	H2_RE	0.0	0.0	0.0	0.137854413
SAER	AMMONIA	0.0	0.0	0.285	0.071991938
SAER	METHANOL	0.0	0.0	0.35	0.081184572
SAER	AMMONIA_RE	0.0	0.0	0.0	0.092751343
SAER	METHANOL_RE	0.0	0.0	0.0	0.122502774
SAER	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
SAER	RES_WIND	Infinity	Infinity	0.0	0.0
SAER	RES_SOLAR	Infinity	Infinity	0.0	0.0
SAER	RES_HYDRO	Infinity	Infinity	0.0	0.0
SAER	RES_GEO	Infinity	Infinity	0.0	0.0
SAER	CO2_ATM	Infinity	Infinity	0.0	0.0
SAER	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SAER	CO2_CAPTURED	0.0	0.0	0.0	0.0
SAER	LPG	0.0	Infinity	0.28360908	0.021578745
SAGB	WOOD	72900.0	0.0	0.0118	0.016980597
SAGB	WET_BIOMASS	21141.14981	0.0	0.0118	0.010318121
SAGB	WASTE	0.0	0.0	0.1501	0.021187834
SAGB	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SAGB	GASOLINE	0.0	Infinity	0.3448	0.124118331
SAGB	DIESEL	0.0	Infinity	0.3148	0.111311495
SAGB	BIOETHANOL	0.0	0.0	0.0	0.122502774
SAGB	BIODIESEL	0.0	0.0	0.0	0.131394244
SAGB	LFO	0.0	Infinity	0.3115	0.085115655
SAGB	GAS	477.4322454	0.0	0.2666	0.010662519
SAGB	GAS_RE	0.0	0.0	0.0	0.132345636
SAGB	COAL	0.0	0.0	0.4014	0.015545445
SAGB	URANIUM	0.0	0.0	0.0039	0.003876456
SAGB	H2	0.0	0.0	0.414044616	0.077642645
SAGB	H2_RE	0.0	0.0	0.0	0.137854413
SAGB	AMMONIA	0.0	0.0	0.285	0.071991938
SAGB	METHANOL	0.0	0.0	0.35	0.081184572
SAGB	AMMONIA_RE	0.0	0.0	0.0	0.092751343
SAGB	METHANOL_RE	0.0	0.0	0.0	0.122502774
SAGB	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
SAGB	RES_WIND	Infinity	Infinity	0.0	0.0
SAGB	RES_SOLAR	Infinity	Infinity	0.0	0.0
SAGB	RES_HYDRO	Infinity	Infinity	0.0	0.0
SAGB	RES_GEO	Infinity	Infinity	0.0	0.0
SAGB	CO2_ATM	Infinity	Infinity	0.0	0.0
SAGB	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SAGB	CO2_CAPTURED	0.0	0.0	0.0	0.0
SAGB	LPG	0.0	Infinity	0.28360908	0.021578745
SAIT	WOOD	12600.0	0.0	0.0118	0.016980597
SAIT	WET_BIOMASS	231.7773203	0.0	0.0118	0.010318121
SAIT	WASTE	0.0	0.0	0.1501	0.021187834
SAIT	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SAIT	GASOLINE	0.0	Infinity	0.3448	0.124118331
SAIT	DIESEL	0.0	Infinity	0.3148	0.111311495
SAIT	BIOETHANOL	0.0	0.0	0.0	0.122502774
SAIT	BIODIESEL	0.0	0.0	0.0	0.131394244
SAIT	LFO	0.0	Infinity	0.3115	0.085115655
SAIT	GAS	477.4322454	0.0	0.2666	0.010662519
SAIT	GAS_RE	0.0	0.0	0.0	0.132345636
SAIT	COAL	0.0	0.0	0.4014	0.015545445
SAIT	URANIUM	0.0	0.0	0.0039	0.003876456
SAIT	H2	0.0	0.0	0.414044616	0.077642645
SAIT	H2_RE	0.0	0.0	0.0	0.137854413
SAIT	AMMONIA	0.0	0.0	0.285	0.071991938
SAIT	METHANOL	0.0	0.0	0.35	0.081184572
SAIT	AMMONIA_RE	0.0	0.0	0.0	0.092751343
SAIT	METHANOL_RE	0.0	0.0	0.0	0.122502774
SAIT	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
SAIT	RES_WIND	Infinity	Infinity	0.0	0.0
SAIT	RES_SOLAR	Infinity	Infinity	0.0	0.0
SAIT	RES_HYDRO	Infinity	Infinity	0.0	0.0
SAIT	RES_GEO	Infinity	Infinity	0.0	0.0
SAIT	CO2_ATM	Infinity	Infinity	0.0	0.0
SAIT	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SAIT	CO2_CAPTURED	0.0	0.0	0.0	0.0
SAIT	LPG	0.0	Infinity	0.28360908	0.021578745
SAMI	WOOD	72900.0	0.0	0.0118	0.016980597
SAMI	WET_BIOMASS	21141.14981	0.0	0.0118	0.010318121
SAMI	WASTE	0.0	0.0	0.1501	0.021187834
SAMI	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SAMI	GASOLINE	0.0	Infinity	0.3448	0.124118331
SAMI	DIESEL	0.0	Infinity	0.3148	0.111311495
SAMI	BIOETHANOL	0.0	0.0	0.0	0.122502774
SAMI	BIODIESEL	0.0	0.0	0.0	0.131394244
SAMI	LFO	0.0	Infinity	0.3115	0.085115655
SAMI	GAS	477.4322454	0.0	0.2666	0.010662519
SAMI	GAS_RE	0.0	0.0	0.0	0.132345636
SAMI	COAL	0.0	0.0	0.4014	0.015545445
SAMI	URANIUM	0.0	0.0	0.0039	0.003876456
SAMI	H2	0.0	0.0	0.414044616	0.077642645
SAMI	H2_RE	0.0	0.0	0.0	0.137854413
SAMI	AMMONIA	0.0	0.0	0.285	0.071991938
SAMI	METHANOL	0.0	0.0	0.35	0.081184572
SAMI	AMMONIA_RE	0.0	0.0	0.0	0.092751343
SAMI	METHANOL_RE	0.0	0.0	0.0	0.122502774
SAMI	CO2_EMISSIONS	Infinity	Infinity	0.0	0.0
SAMI	RES_WIND	Infinity	Infinity	0.0	0.0
