param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION := 
TJ	ELECTRICITY	73.26531667	63.94407476	26.55328125	0.0
TJ	LIGHTING	16.99070118	29.37052834	26.55328125	0.0
TJ	HEAT_HIGH_T	0.0	2.302723577	478.1066208	0.0
TJ	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0
TJ	HEAT_LOW_T_HW	52.34916302	0.0	0.0	0.0
TJ	COOKING	240.8590404	5.26307277	0.0	0.0
TJ	MOBILITY_PASSENGER	0.0	0.0	0.0	3281.609073
TJ	MOBILITY_FREIGHT	0.0	0.0	0.0	724.8048047
TJ	NON_ENERGY	0.0	0.0	11.4200352	0.0
;
